UniversalName,Strain,LatestSppName,Reservoir_of_this_strain,Genbank.accession,WholeGenome
Ekpoma 2 tibrovirus,NA,Ekpoma 2 tibrovirus,Orphan,NC_038283.1,1
Gan Gan virus,NA,Gan Gan virus,NA,KR013232.1; KR013233.1; KR013234.1,1
Mammalian 2 bornavirus,NA,Mammalian 2 orthobornavirus,Orphan,NC_030701.1,1
Rotavirus H,NA,Rotavirus H,Orphan,NC_007548.1; NC_007549.1; NC_007550.1; NC_007551.1; NC_007552.1; NC_007553.1; NC_007554.1; NC_007555.1; NC_007556.1; NC_007557.1; NC_007558.1,1
Trubanaman virus,NA,Trubanaman virus,NA,KR013235.1; KR013236.1; KR013237.1,1
Acara orthobunyavirus,NA,Acara orthobunyavirus,NA,NA,NA
Aedes pseudoscutellaris reovirus,NA,Aedes pseudoscutellaris reovirus,Insect,NC_007666.1; NC_007667.1; NC_007668.1; NC_007669.1; NC_007670.1; NC_007671.1; NC_007672.1; NC_007673.1; NC_007674.1,1
African pouched rat arterivirus,NA,Lambdaarterivirus afriporav,Orphan,NC_026439.1,1
Aichivirus B,NA,Aichivirus B,Artiodactyl,NC_004421.1,1
Aichivirus C,NA,Aichivirus C,Artiodactyl,NC_011829.1,1
Aichivirus D,NA,Aichivirus D,Orphan,NC_027919.1,1
Aichivirus E,NA,Aichivirus E,Orphan,KT325852.1,1
Aichivirus F,NA,Aichivirus F,Orphan,KJ641694.1,1
Alajuela orthobunyavirus,NA,Alajuela orthobunyavirus,NA,NC_038717.1; NC_038715.1; NC_038716.1,1
Alfalfa dwarf cytorhabdovirus,NA,Alfalfa dwarf cytorhabdovirus,Plant,NC_028237.2,1
Amga orthohantavirus,NA,Seewis orhtohantavirus,Orphan,KF974359.1; KF974360.1,0
Ampivirus A,NA,Ampivirus A,Orphan,NC_027214.1,1
Aquareovirus A,NA,Aquareovirus A,Fish,NC_007582.1; NC_007583.1; NC_007584.1; NC_007586.1; NC_007592.1; NC_007585.1; NC_007587.1; NC_007588.1; NC_007589.1; NC_007590.1; NC_007591.1,1
Aquareovirus B,NA,Aquareovirus B,Fish,NC_038630.1; NC_038629.1; NC_038624.1; NC_038625.1; NC_038631.1; NC_038626.1; NC_038627.1; NC_038632.1; NC_038628.1; NC_038633.1,1
Aquareovirus C,NA,Aquareovirus C,Fish,NC_005166.1; NC_005167.1; NC_005168.1; NC_005169.1; NC_005170.1; NC_005171.1; NC_005172.1; NC_005173.1; NC_005174.1; NC_005175.1; NC_005176.1,1
Aquareovirus D,NA,Aquareovirus D,Fish,NA,NA
Aquareovirus E,NA,Aquareovirus E,Fish,NC_038640.1; NC_038634.1; NC_038635.1; NC_038641.1; NC_038636.1; NC_038637.1; NC_038643.1; NC_038639.1; NC_038638.1; NC_038642.1; NC_038644.1,1
Aquareovirus F,NA,Aquareovirus F,Fish,NA,NA
Aquareovirus G,NA,Aquareovirus G,Fish,NC_010584.1; NC_010585.1; NC_010586.1; NC_010587.1; NC_010588.1; NC_010589.1; NC_010590.1; NC_010591.1; NC_010592.1; NC_010593.1; NC_010594.1,1
Asama orthohantavirus,NA,Asama orthohantavirus,Orphan,NC_038274.1; NC_038273.1,0
Asikkala orthohantavirus,NA,Asikkala orthohantavirus,Orphan,KC880348.1; KC880345.1; KC880342.1,0
Avian avulavirus 13,NA,Avian orthoavulavirus 13,NA,NC_030231.1,1
Avian avulavirus 2,APMV-2/Chicken/California/Yucaipa/56,Avian metaavulavirus 2,Galliformes,NC_039230.1,1
Avian carcinoma Mill Hill virus 2,NA,Avian carcinoma Mill Hill virus 2,NONE,NA,NA
Avian leukosis virus,NA,Avian leukosis virus,Galliformes,KY235336.1,1
Avian myeloblastosis virus,NA,Avian myeloblastosis virus,NONE,NA,NA
Avian myelocytomatosis virus 29,NA,Avian myelocytomatosis virus 29,NONE,NA,NA
Avian orthoreovirus,NA,Avian orthoreovirus,Galliformes,NC_015126.1; NC_015128.1; NC_015127.1; NC_015129.1; NC_015130.1; NC_015131.1; NC_015132.1; NC_015133.1; NC_015134.1; NC_015135.1,1
Avian sapelovirus,NA,Anativirus A,NA,NC_006553.1,1
Avian sarcoma virus CT10,NA,Avian sarcoma virus CT10,NONE,NA,NA
Avisivirus A,NA,Avisivirus A,Orphan,NC_038304.1,1
Badu phasivirus,NA,Badu phasivirus,Insect,NC_038257.1; NC_038258.1; NC_038259.1,1
Ball python nidovirus 1,NA,Ball python nidovirus 1,Reptile,NC_024709.1,1
Balsa almendravirus,NA,Balsa almendravirus,Orphan,NA,NA
Barley yellow striate mosaic cytorhabdovirus,NA,Barley yellow striate mosaic cytorhabdovirus,Plant,NC_028244.1,1
Bat mumps rubulavirus,NA,Bat mumps orthorubulavirus,Orphan,NC_038271.1,1
Batama orthobunyavirus,NA,Batama orthobunyavirus,NA,NC_038722.1,1
Benevides orthobunyavirus,NA,Benevides orthobunyavirus,NA,NA,NA
Bertioga orthobunyavirus,NA,Bertioga orthobunyavirus,NA,KY013487.1; KY013488.1; KY013489.1,1
Blotched snakehead virus,NA,Blotched snakehead virus,Fish,NC_005983.1,0
Botambi orthobunyavirus,NA,Botambi orthobunyavirus,NA,NA,NA
Bovine nidovirus 1,NA,Bovine nidovirus 1,Orphan,NC_027199.1,1
Bovine rhinitis A virus,NA,Bovine rhinitis A virus,Artiodactyl,NC_038303.1,1
Bovine rhinitis B virus,NA,Bovine rhinitis B virus,NA,NC_010354.1,1
Bowe orthohantavirus,NA,Bowe orthohantavirus,Orphan,NC_034407.1; NC_034406.1; NC_034405.1,1
Broccoli necrotic yellows cytorhabdovirus,NA,Broccoli necrotic yellows cytorhabdovirus,Plant,NA,NA
Bruges orthohantavirus,NA,Bruges orthohantavirus,Eulipotyphla,NC_034402.1; NC_034395.1; NC_034394.1,1
Bulbul coronavirus HKU11,NA,Bulbul coronavirus HKU11,Orphan,NC_011547.1,1
Burana orthonairovirus,NA,Tamdy orthonairovirus,NA,NC_031284.1; NC_031285.1; NC_031286.1,1
Bushbush orthobunyavirus,NA,Bushbush orthobunyavirus,NA,NA,NA
Cadicivirus A,NA,Cadicivirus A,Carnivore,NC_021178.1,1
Cao Bang orthohantavirus,NA,Cao Bang orthohantavirus,Eulipotyphla,NC_034485.1; NC_034474.1; NC_034484.1,1
Capim orthobunyavirus,NA,Capim orthobunyavirus,NA,NC_034482.1; NC_034493.1; NC_034483.1,1
Carajas vesiculovirus,NA,Carajas vesiculovirus,NA,NC_038285.1,1
Cardiovirus C,NA,Cardiovirus C,Orphan,NC_038305.1,1
Chaco sripuvirus,NA,Chaco sripuvirus,Reptile,NC_034550.1,1
Chenuda virus,NA,Chenuda virus,NA,KP268794.1; KP268795.1; KP268796.1; KP268797.1; KP268798.1; KP268799.1; KP268800.1; KP268801.1; KP268802.1; KP268803.1,1
Chick syncytial virus,NA,Chick syncytial virus,NA,NA,NA
Chilibre phlebovirus,NA,Chilibre phlebovirus,NA,MK330756.1; MK330757.1; MK330758.1,1
Chinook salmon nidovirus 1,NA,Chinook salmon nidovirus 1,Fish,NC_026812.1,1
Coffee ringspot dichorhavirus,NA,Coffee ringspot dichorhavirus,Plant,NC_038756.1; NC_038755.1,1
Colocasia bobone disease-associated cytorhabdovirus,NA,Colocasia bobone disease-associated cytorhabdovirus,Plant,NC_034551.1,1
Coot Bay almendravirus,NA,Coot Bay almendravirus,Insect,NA,NA
Cosavirus A,NA,Cosavirus A,Human,NC_012800.1,1
Cosavirus B,NA,Cosavirus B,Orphan,NC_012801.1,1
Cosavirus D,NA,Cosavirus D,Orphan,NC_012802.1,1
Cosavirus E,NA,Cosavirus E,Orphan,NC_012798.1,1
Cosavirus F,NA,Cosavirus F,Orphan,NC_034385.1,1
Cumuto goukovirus,NA,Cumuto goukovirus,Insect,KF543244.1; KF543245.1; KF543246.1,1
Cypovirus 1,NA,Cypovirus 1,Insect,NC_003016.1; NC_003017.1; NC_003018.1; NC_003019.1; NC_003020.1; NC_003021.1; NC_003022.1; NC_003023.1; NC_003024.1; NC_003025.1,1
Cypovirus 10,NA,Cypovirus 10,Insect,NA,NA
Cypovirus 11,NA,Cypovirus 11,Insect,NA,NA
Cypovirus 12,NA,Cypovirus 12,Insect,NA,NA
Cypovirus 13,NA,Cypovirus 13,Insect,NA,NA
Cypovirus 14,NA,Cypovirus 14,Insect,NC_003006.1; NC_003007.1; NC_003008.1; NC_003009.1; NC_003010.1; NC_003011.1; NC_003012.1; NC_003013.1; NC_003014.1; NC_003015.1,1
Cypovirus 15,NA,Cypovirus 15,Insect,NC_002557.1; NC_002558.1; NC_002559.1; NC_002567.1; NC_002560.1; NC_002561.1; NC_002562.1; NC_002563.1; NC_002564.1; NC_002565.1; NC_002566.1,1
Cypovirus 16,NA,Cypovirus 16,Insect,NC_038648.1; NC_038649.1; NC_038652.1; NC_038645.1; NC_038651.1; NC_038646.1; NC_038647.1; NC_038650.1,0
Cypovirus 2,NA,Cypovirus 2,Insect,NC_023491.1; NC_023486.1; NC_023492.1; NC_023487.1; NC_023488.1; NC_023493.1; NC_023489.1; NC_023494.1; NC_023490.1; NC_023495.1,1
Cypovirus 3,NA,Cypovirus 3,Insect,NA,NA
Cypovirus 4,NA,Cypovirus 4,Insect,NA,NA
Cypovirus 5,NA,Cypovirus 5,Insect,NC_010670.1; NC_010669.1; NC_010668.1; NC_010667.1; NC_010666.1; NC_010665.1; NC_010662.1; NC_010664.1; NC_010663.1; NC_010661.1,1
Cypovirus 6,NA,Cypovirus 6,Insect,NA,NA
Cypovirus 7,NA,Cypovirus 7,Insect,NA,NA
Cypovirus 8,NA,Cypovirus 8,Insect,NA,NA
Cypovirus 9,NA,Cypovirus 9,Insect,NA,NA
Dabieshan orthohantavirus,NA,Dabieshan orthohantavirus,Rodent,NC_038383.1; NC_038384.1,1
Datura yellow vein nucleorhabdovirus,NA,Datura yellow vein nucleorhabdovirus,Plant,NC_028231.1,1
DeBrazza’s monkey arterivirus,NA,Iotaarterivirus debrazmo,NA,NC_026509.1,1
Drosophila affinis sigmavirus,NA,Drosophila affinis sigmavirus,Insect,NC_038278.1,1
Drosophila ananassae sigmavirus,NA,Drosophila ananassae sigmavirus,Insect,NC_038279.1,1
Drosophila immigrans sigmavirus,NA,Drosophila immigrans sigmavirus,Insect,NC_038280.1,1
Drosophila tristis sigmavirus,NA,Drosophila tristis sigmavirus,Insect,NA,NA
Drosophila X virus,NA,Drosophila X virus,Insect,NC_004177.1; NC_004169.1,1
Durham tupavirus,NA,Durham tupavirus,Orphan,NC_038284.1,1
Echinochloa hoja blanca tenuivirus,NA,Echinochloa hoja blanca tenuivirus,Plant,NC_038934.1; NC_038935.1; NC_038936.1,0
Echinochloa ragged stunt virus,NA,Echinochloa ragged stunt virus,Plant,NA,NA
Edge Hill virus,NA,Edge Hill virus,Orphan,NC_030289.1,1
Elapid 1 bornavirus,NA,Elapid 1 orthobornavirus,Reptile,NC_024778.1,1
Enterovirus E,NA,Enterovirus E,Artiodactyl,NC_001859.1,1
Enterovirus F,NA,Enterovirus F,Artiodactyl,NC_021220.1,1
Enterovirus J,NA,Enterovirus J,NonHumanPrimate,NC_013695.1,1
Eriocheir sinensis reovirus,NA,Eriocheir sinensis reovirus,Crustacean,NC_043180.1; NC_043185.1; NC_043183.1; NC_043184.1; NC_043182.1; NC_043190.1; NC_043186.1; NC_043181.1; NC_043187.1; NC_043191.1; NC_043189.1; NC_043188.1,1
Estero Real orthobunyavirus,NA,Estero Real orthonairovirus,NA,MH017280.1; MH017286.1; MH017274.1,1
Fathead minnow nidovirus 1,NA,Fathead minnow nidovirus 1,Fish,NC_038295.1,1
Festuca leaf streak cytorhabdovirus,NA,Festuca leaf streak cytorhabdovirus,Plant,NA,NA
Fiji disease virus,NA,Fiji disease virus,Plant,NC_007159.1; NC_007154.1; NC_007158.1; NC_007155.1; NC_007160.1; NC_007157.1; NC_007163.1; NC_007161.1; NC_007156.1; NC_007162.1,1
Finkel-Biskis-Jinkins murine sarcoma virus,NA,Finkel-Biskis-Jinkins murine sarcoma virus,NONE,NA,NA
Flanders hapavirus,NA,Flanders hapavirus,Passeriformes,NC_039202.1,1
Free State vervet virus,NA,Epsilonarterivirus safriver,NA,KT166441.1,1
Frijoles phlebovirus,NA,Frijoles phlebovirus,NA,KX611391.1; KX611392.1; KX611393.1,1
Fugong orthohantavirus,NA,Fugong orthohantavirus,Orphan,NC_034467.1; NC_034466.1; NC_034473.1,1
Fujinami sarcoma virus,NA,Fujinami sarcoma virus,NONE,NA,NA
Fukuoka ledantevirus,NA,Fukuoka ledantevirus,NA,NC_034454.1,1
Fusong orthohantavirus,NA,Fusong orthohantavirus,Rodent,NC_038447.1; NC_038446.1,1
Gadgets Gully virus,NA,Gadgets Gully virus,Orphan,NC_033723.1,1
Gallivirus A,NA,Gallivirus A,Orphan,NC_018400.1,1
Gamboa orthobunyavirus,NA,Gamboa orthobunyavirus,Orphan,NC_038729.1; NC_038730.1; NC_038731.1,1
Gardner-Arnstein feline sarcoma virus,NA,Gardner-Arnstein feline sarcoma virus,NONE,NA,NA
Garlic dwarf virus,NA,Garlic dwarf virus,Plant,NA,NA
Gray Lodge hapavirus,NA,Gray Lodge hapavirus,NA,NC_034541.1,1
Groundnut ringspot orthotospovirus,NA,Groundnut ringspot orthotospovirus,Plant,NC_043503.1; NC_043502.1; NC_043504.1,1
Groundnut yellow spot orthotospovirus,NA,Groundnut yellow spot orthotospovirus,Plant,NC_043210.1,0
Guajara orthobunyavirus,NA,Guajara orthobunyavirus,NA,NC_038734.1; NC_038733.1; NC_038732.1,1
Hardy-Zuckerman feline sarcoma virus,NA,Hardy-Zuckerman feline sarcoma virus,NONE,NA,NA
Hart Park hapavirus,NA,Hart Park hapavirus,NA,NC_034447.1,1
Harvey murine sarcoma virus,NA,Harvey murine sarcoma virus,NONE,NA,NA
Hazara orthonairovirus,NA,Hazara orthonairovirus,Orphan,NC_038709.1; NC_038710.1; NC_038711.1,1
Hepacivirus A,NA,Hepacivirus A,Perissodactyla,NC_038425.1,1
Hepacivirus B,NA,Hepacivirus B,Orphan,NC_038426.1,1
Hepacivirus D,NA,Hepacivirus D,Orphan,NC_031950.1,1
Hepacivirus E,NA,Hepacivirus E,Orphan,KC815310.1,1
Hepacivirus F,NA,Hepacivirus F,Orphan,NC_038427.1,1
Hepacivirus G,NA,Hepacivirus G,Orphan,KJ950938.1,1
Hepacivirus H,NA,Hepacivirus H,Orphan,KJ950939.1,1
Hepacivirus I,NA,Hepacivirus I,Orphan,NC_038428.1,1
Hepacivirus J,NA,Hepacivirus J,Orphan,NC_038429.1,1
Hepacivirus K,NA,Hepacivirus K,Orphan,NC_038430.1,1
Hepacivirus L,NA,Hepacivirus L,Orphan,NC_031916.1,1
Hepacivirus M,NA,Hepacivirus M,Orphan,NC_038431.1,1
Hepacivirus N,NA,Hepacivirus N,Artiodactyl,NC_038432.1,1
Hepatovirus C,NA,Hepatovirus C,Orphan,NC_038313.1,1
Hepatovirus D,NA,Hepatovirus D,Orphan,NC_028363.1,1
Hepatovirus E,NA,Hepatovirus E,Orphan,NC_038314.1,1
Hepatovirus F,NA,Hepatovirus F,Orphan,NC_038315.1,1
Hepatovirus G,NA,Hepatovirus G,Orphan,NC_038316.1,1
Hepatovirus H,NA,Hepatovirus H,Orphan,NC_028365.1,1
Hepatovirus I,NA,Hepatovirus I,Orphan,NC_028364.1,1
Hughes orthonairovirus,NA,Hughes orthonairovirus,Charadriiformes,KU925479.1; KU925480.1; KU925481.1,1
Hunnivirus A,NA,Hunnivirus A,Orphan,NC_018668.1,1
Idnoreovirus 1,NA,Idnoreovirus 1,Insect,NC_043368.1; NC_043369.1; NC_043370.1; NC_043373.1; NC_043367.1; NC_043371.1; NC_043372.1,0
Idnoreovirus 2,NA,Idnoreovirus 2,Insect,NA,NA
Idnoreovirus 3,NA,Idnoreovirus 3,Insect,NA,NA
Idnoreovirus 4,NA,Idnoreovirus 4,Insect,NA,NA
Idnoreovirus 5,NA,Idnoreovirus 5,Insect,NA,NA
Ieri virus,NA,Ieri virus,NA,NA,NA
Imjin orthohantavirus,NA,Imjin thottimvirus,Eulipotyphla,NC_034564.1; NC_034557.1; NC_034558.1,1
Infectious bursal disease virus,NA,Infectious bursal disease virus,Galliformes,NC_004178.1; NC_004179.1,1
Infectious pancreatic necrosis virus,NA,Infectious pancreatic necrosis virus,Fish,NC_001915.1; NC_001916.1,1
Infectious salmon anemia virus,NA,Salmon isavirus,Fish,NC_006503.1; NC_006505.1; NC_006502.1; NC_006501.1; NC_006500.2; NC_006499.1; NC_006498.1; NC_006497.1,1
Influenza D virus,NA,Influenza D virus,Artiodactyl,NC_036616.1; NC_036615.1; NC_036619.1; NC_036618.1; NC_036617.1; NC_036620.1; NC_036621.1,1
Iranian wheat stripe tenuivirus,NA,Iranian wheat stripe tenuivirus,Plant,NC_038748.1; NC_038750.1; NC_038749.1,1
Iriri curiovirus,NA,Iriri curiovirus,NA,NC_034544.1,1
Iris yellow spot orthotospovirus,NA,Iris yellow spot orthotospovirus,Plant,NC_029799.1; NC_038232.1; NC_029800.1,1
Israel turkey meningoencephalomyelitis virus,NA,Israel turkey meningoencephalomyelitis virus,Galliformes,KC734551.1,1
Itacaiunas curiovirus,NA,Itacaiunas curiovirus,NA,NC_034536.1,1
Itaporanga virus,NA,Itaporanga virus,NA,MK330771.2; MK330772.1; MK330773.1,1
Jeju orthohantavirus,NA,Jeju orthohantavirus,Eulipotyphla,NC_034399.1; NC_034404.1; NC_034398.1,1
Jembrana disease virus,NA,Jembrana disease virus,Artiodactyl,U21603.1,1
Johnston Atoll virus,NA,Johnston Atoll quaranjavirus,NA,NC_043229.1; NC_043230.1,0
Joinjakaka hapavirus,NA,Joinjakaka hapavirus,NA,NC_034538.1,1
Kadam virus,NA,Kadam virus,NA,NC_033724.1,1
Kadipiro virus,NA,Kadipiro virus,NA,NC_004210.1; NC_004212.1; NC_004213.1; NC_004214.1; NC_004215.1; NC_004216.1; NC_004209.1; NC_004208.1; NC_004207.1; NC_004206.1; NC_004205.1; NC_004199.1,1
Kafue kinda chacma baboon virus,NA,Thetaarterivirus kafuba,NonHumanPrimate,NC_029053.1,1
Kamese hapavirus,NA,Kamese hapavirus,Orphan,NC_034450.1,1
Kenkeme orthohantavirus,NA,Kenkeme orthohantavirus,NA,NC_034560.1; NC_034565.1; NC_034559.1,1
Keterah orthonairovirus,NA,Keterah orthonairovirus,NA,NC_034392.1; NC_034388.1; NC_034389.1,1
Kibale herbevirus,NA,Kibale herbevirus,Insect,NC_034460.1; NC_034468.1; NC_034458.1,1
Kibale red colobus virus 1,NA,Zetaarterivirus ugarco 1,NonHumanPrimate,NC_033553.1,1
Kibale red colobus virus 2,NA,Etaarterivirus ugarco 1,NonHumanPrimate,NC_034455.1,1
Kibale red-tailed guenon virus 1,NA,Iotaarterivirus kibreg 1,NonHumanPrimate,NC_038292.1,1
Kirsten murine sarcoma virus,NA,Kirsten murine sarcoma virus,NONE,NA,NA
Klamath tupavirus,NA,Klamath tupavirus,NA,NC_034549.1,1
Koala retrovirus,NA,Koala retrovirus,Diprotodontia,NC_039228.1,1
Koolpinyah ephemerovirus,NA,Koolpinyah ephemerovirus,NA,NC_028239.1,1
Kumasi ledantevirus,NA,Kumasi ledantevirus,Pterobat,NC_028236.1,1
Kunsagivirus A,NA,Kunsagivirus A,Orphan,NC_038317.1,1
La Joya hapavirus,NA,La Joya hapavirus,NA,NC_034537.1,1
Laibin orthohantavirus,NA,Laibin mobatvirus,Orphan,NC_038515.1; NC_038513.1; NC_038514.1,1
Landjia hapavirus,NA,Landjia hapavirus,NA,NC_034533.1,1
Le Dantec ledantevirus,NA,Le Dantec ledantevirus,Orphan,NC_034443.1,1
Lettuce big-vein associated varicosavirus,NA,Lettuce big-vein associated varicosavirus,Plant,NC_011558.1; NC_011568.1,1
Liao ning virus,NA,Liao ning virus,Insect,NC_007736.1; NC_007737.1; NC_007738.1; NC_007739.1; NC_007740.1; NC_007741.1; NC_007742.1; NC_007743.1; NC_007744.1; NC_007745.1; NC_007746.1; NC_007747.1,1
Limnipivirus A,NA,Limnipivirus A,Fish,NC_018506.1,1
Limnipivirus B,NA,Limnipivirus B,Fish,NC_023162.1,1
Longquan orthohantavirus,NA,Longquan loanvirus,Orphan,JX465401.1; JX465421.1,0
Luxi orthohantavirus,NA,Luxi orthohantavirus,Orphan,NC_038529.1; NC_038528.1; NC_038530.1,1
Maize rough dwarf virus,NA,Maize rough dwarf virus,Plant,NC_037570.1; NC_037578.1; NC_037572.1; NC_037571.1; NC_028465.1; NC_037573.1; NC_037574.1; NC_037575.1; NC_037576.1; NC_037577.1,1
Maize stripe tenuivirus,NA,Maize stripe tenuivirus,Plant,NC_038751.1; NC_038754.1; NC_038752.1; NC_038753.1,1
Mal de Rio Cuarto virus,NA,Mal de Rio Cuarto virus,Plant,NC_008733.1; NC_008732.1; NC_008730.1; NC_008729.1; NC_008735.1; NC_008731.1; NC_008736.1; NC_008728.1; NC_008737.1; NC_008734.1,1
Mamastrovirus 11,NA,Mamastrovirus 11,Orphan,FJ890351.1,0
Mamastrovirus 12,NA,Mamastrovirus 12,Orphan,FJ571067.1,0
Mamastrovirus 14,NA,Mamastrovirus 14,Orphan,EU847144.2,0
Mamastrovirus 15,NA,Mamastrovirus 15,Orphan,FJ571066.1,0
Mamastrovirus 16,NA,Mamastrovirus 16,Orphan,EU847145.2,0
Mamastrovirus 17,NA,Mamastrovirus 17,Orphan,NC_038368.1,0
Mamastrovirus 18,NA,Mamastrovirus 18,Orphan,EU847155.1,0
Mamastrovirus 19,NA,Mamastrovirus 19,Orphan,FJ571065.1,0
Mamastrovirus 5,NA,Mamastrovirus 5,Carnivore,KY765684.1,1
Mamastrovirus 7,NA,Mamastrovirus 7,Orphan,FJ890355.1,0
Mamastrovirus 8,NA,Mamastrovirus 8,Human,GQ415660.1,1
Manitoba hapavirus,NA,Manitoba hapavirus,Orphan,NC_034531.1,1
Maporal orthohantavirus,NA,Maporal orthohantavirus,Orphan,NC_034553.1; NC_034552.1; NC_034566.1,1
Marco hapavirus,NA,Marco hapavirus,Reptile,NC_034530.1,1
Mariental mammarenavirus,NA,Mariental mammarenavirus,Orphan,NC_027136.1; NC_027134.1,0
Meaban virus,NA,Meaban virus,Charadriiformes,NC_033721.1,1
Melegrivirus A,NA,Megrivirus A,Orphan,NC_023858.1,1
Micromonas pusilla reovirus,NA,Micromonas pusilla reovirus,Protist,NC_008171.1; NC_008172.1; NC_008173.1; NC_008174.1; NC_008175.1; NC_008176.1; NC_008177.1; NC_008178.1; NC_008179.1; NC_008180.1; NC_008181.1,1
Mikumi yellow baboon virus 1,NA,Thetaarterivirus mikelba 1,NonHumanPrimate,NC_025112.1,1
Miniopterus bat coronavirus 1,NA,Miniopterus bat coronavirus 1,Vespbat,EU420138.1,1
Mink coronavirus 1,NA,Mink coronavirus 1,Carnivore,NC_023760.1,1
Mischivirus B,NA,Mischivirus B,Orphan,NA,NA
Montano orthohantavirus,NA,Montano orthohantavirus,Rodent,NC_034403.1; NC_034397.1; NC_034396.1,1
Morreton vesiculovirus,NA,Morreton vesiculovirus,NA,NC_034508.1,1
Mosavirus A,NA,Mosavirus A,Orphan,NC_023987.1,1
Mosqueiro hapavirus,NA,Mosqueiro hapavirus,NA,NC_034448.1,1
Mossuril hapavirus,NA,Mossuril hapavirus,NA,NC_038275.1,1
MPoko orthobunyavirus,NA,MPoko orthobunyavirus,Anseriformes,AM711133.1,0
Muscina stabulans sigmavirus,NA,Muscina stabulans sigmavirus,Insect,NA,NA
Mycoreovirus 1,NA,Mycoreovirus 1,Fungi,NC_010743.1; NC_010744.1; NC_010745.1; NC_038657.1; NC_010746.1; NC_010747.1; NC_010748.1; NC_010749.1; NC_010750.1; NC_010751.1; NC_010752.1; NC_010753.1,1
Mycoreovirus 2,NA,Mycoreovirus 2,Fungi,NA,NA
Mycoreovirus 3,NA,Mycoreovirus 3,Fungi,NC_007535.1; NC_007533.1; NC_007536.1; NC_007524.1; NC_007534.1; NC_007525.1; NC_007526.1; NC_007527.1; NC_007528.1; NC_007529.1; NC_007531.1; NC_007532.1,1
Nairobi sheep disease orthonairovirus,NA,Nairobi sheep disease orthonairovirus,Artiodactyl,NC_034387.1; NC_034391.1; NC_034386.1,1
Necocli orthohantavirus,NA,Necocli orthohantavirus,Orphan,KF494345.1; KF481954.1,0
Nilaparvata lugens reovirus,NA,Nilaparvata lugens reovirus,Insect,NC_003654.1; NC_003655.1; NC_003656.1; NC_003657.1; NC_003658.1; NC_003659.1; NC_003660.1; NC_003653.1; NC_003661.1; NC_003652.1,1
Nishimuro ledantevirus,NA,Nishimuro ledantevirus,Orphan,NC_038276.1,1
Nkolbisson ledantevirus,NA,Nkolbisson ledantevirus,NA,NC_034539.1,1
Nova orthohantavirus,NA,Nova mobatvirus,Eulipotyphla,NC_034465.1; NC_034470.1; NC_034464.1,1
Oat sterile dwarf virus,NA,Oat sterile dwarf virus,Plant,NC_038655.1; NC_038653.1; NC_038656.1; NC_038654.1,0
Okahandja mammarenavirus,NA,Okahandja mammarenavirus,Orphan,NC_027137.1; NC_027135.1,1
Olifantsvlei orthobunyavirus,NA,Olifantsvlei orthobunyavirus,NA,NA,NA
Orchid fleck dichorhavirus,NA,Orchid fleck dichorhavirus,Plant,NC_009608.1; NC_009609.1,1
Ord River hapavirus,NA,Ord River hapavirus,NA,NC_034543.1,1
Oxbow orthohantavirus,NA,Oxbow orthohantavirus,Orphan,FJ539167.1; FJ539166.1,0
Pangola stunt virus,NA,Pangola stunt virus,Plant,NA,NA
Parechovirus C,NA,Parechovirus C,Orphan,NC_021482.1,1
Parechovirus D,NA,Parechovirus D,Orphan,NC_034453.1,1
Parry Creek hapavirus,NA,Parry Creek hapavirus,Orphan,NC_034449.1,1
Pasivirus A,NA,Pasivirus A,Artiodactyl,NC_018226.1,1
Passeriform 1 bornavirus,NA,Passeriform 1 orthobornavirus,Passeriformes,NC_030690.1,1
Passeriform 2 bornavirus,NA,Passeriform 2 orthobornavirus,Orphan,NC_038268.1,0
Passerivirus A,NA,Passerivirus A,Passeriformes,NC_014411.1,1
Pebjah virus,NA,Deltaarterivirus pejah,Orphan,NC_027124.1,1
Pegivirus B,NA,Pegivirus B,Orphan,NC_030291.1,1
Pegivirus D,NA,Pegivirus D,Orphan,NC_038433.1,1
Pegivirus F,NA,Pegivirus F,Orphan,NC_038434.1,1
Pegivirus G,NA,Pegivirus G,Orphan,NC_038435.1,1
Pegivirus I,NA,Pegivirus I,Orphan,NC_038437.1,1
Pegivirus J,NA,Pegivirus J,Orphan,KC815311.1,1
Pegivirus K,NA,Pegivirus K,Orphan,NC_034442.1,1
Phasi Charoen-like phasivirus,NA,Phasi Charoen-like phasivirus,Insect,NC_038262.1; NC_038261.1; NC_038263.1,1
Piscine orthoreovirus,NA,Piscine orthoreovirus,Fish,NC_036468.1; NC_036477.1; NC_036476.1; NC_036471.1; NC_036469.1; NC_036470.1; NC_036473.1; NC_036474.1; NC_036472.1; NC_036475.1,1
Polygonum ringspot orthotospovirus,NA,Polygonum ringspot orthotospovirus,Plant,NC_039204.1; NC_039203.1; NC_039205.1,1
Porcine reproductive and respiratory syndrome virus 2,NA,Betaarterivirus suid 2,Artiodactyl,NC_038291.1,1
Potamipivirus A,NA,Potamipivirus A,Fish,NC_022332.1,1
Psittaciform 1 bornavirus,NA,Psittaciform 1 orthobornavirus,Psittaciformes,NC_030688.1,1
Psittaciform 2 bornavirus,NA,Psittaciform 2 orthobornavirus,Orphan,NC_039190.1,1
Quezon orthohantavirus,NA,Quezon mobatvirus,Orphan,NC_034401.1; NC_034393.1; NC_034400.1,1
